id,name,issuer,type,network,cashbackMax,annualFee,fxFee,signupBonus,custody,kyc,regions,metal,mobilePay,stakingRequired,atmLimit,supportedAssets,officialLink,supportedCurrencies,perks
nexo-card,Nexo Card,Nexo,Credit,Mastercard,2,Free,0.2%-2.5%,$25 BTC,Custodial,Required,"EEA, UK",Yes,Yes,None (Portfolio-based),"€2,000/mo free (Platinum)",60+ Assets,https://nexo.com/crypto-card,EUR | GBP | USD,"up to 2% crypto cashback | earn up to 14% interest per year on unspent balance, paid out daily | use worldwide at over 100 million merchants | up to €2,000 / £1,800 free ATM withdrawals per month (Platinum tier) | Apple Pay and Google Pay supported | no monthly, annual, or inactivity card fees"
coinbase-card,Coinbase Card,Coinbase,Prepaid,Visa,4,Free,Not specified,None,Custodial,Required,US (except Hawaii),No,Yes,None,Spend limits apply,All Coinbase Assets,https://www.coinbase.com/card,USD,"Earn crypto without buying crypto | No hidden fees | Industry-leading security features (2FA, card freezing, PIN change, etc.) | Switch rewards at any time | Fund with bank account or paycheck (zero fees) | No credit check | 24/7 support"
binance-card,Binance Card,Binance,Debit,Visa,3,Free,1-2%,$100,Custodial,Required,"Brazil, LATAM",No,Yes,None,"3,000 BRL/day","USDT, USDC, FDUSD, BNB, BTC, ETH, SOL, ADA, LINK, XRP",https://www.binance.com/en/cards,BRL | ARS | COP,"Earn up to 3% cashback on every purchase | Earn up to 250 BRL/month | Automatic cashback that deposits into your account every month | Increased Cashback for all spending in Dec 2025 - Feb 2026 | Spend with Virtual Card Immediately After Applying | Pay anywhere, anytime with crypto"
Kripicard,Premium,Kripicard,Credit,Visa,0,Free,Zero FX fees,None,Self-Custody,None,Global,No,Yes,No,NA,"Bitcoin, ETH, USDT, XMR, LTC, TON , ETH, SOL , BNB , DOGE , TRON ",https://kripicard.com/register/Param25,USD | HKD,0% Cashback | 0% FX fees | Virtual card | Google Pay | Apple Pay  | Paypal 
cdc-visa,Crypto.com Visa,Crypto.com,Prepaid,Visa,8,Staking,"ATM withdrawal fees, interbank exchange rates, top-up fees, and other charges may apply depending on your jurisdiction and card tier",$25 CRO,Custodial,Required,"Global (US, EU, UK, CA, APAC)",Yes,Yes,"Yes ($500-$1,000,000 CRO)","$200-$1,000/mo free (tier-dependent)",Fiat/CRO,https://crypto.com/en/cards,USD | EUR | GBP | CAD | SGD | AUD,"CRO Rewards on everyday spending (0% to 8% depending on tier) | CRO Rewards on travel spending (up to 1.5% to 15% depending on tier, coming soon) | Priority support (from Ruby Steel tier) | Voice & messaging support (from Jade Green / Royal Indigo tier) | Exclusive experiences: F1, UFC, UEFA & more (from Jade Green / Royal Indigo tier) | Private account manager (coming soon from Jade Green / Royal Indigo tier) | Subscription rebates: Spotify, Netflix, and Truth+ (3 months to permanent depending on tier) | Airport lounge access (from Jade Green / Royal Indigo tier, with variations by tier)"
bybit-card,Bybit Card,Bybit,Debit,Mastercard,10,Free,0.5%,20 USDT,Custodial,Required,"EEA, LATAM",No,Yes,None,100 USD/mo free,8+ Cryptos,https://www.bybit.com/en/cards,EUR | USD | GBP,"10% cashback up to 150 USD for selected users | 100% rebates on selected partners | 2% to 10% cashback rewards on everyday spending | Compatible with Apple Pay, Google Pay, and Samsung Pay | Earn up to 8% APR on idle funds with Auto-Earn | Free worldwide delivery"
kast-card,KAST Card,KAST,Debit,Visa,8,Free,Not specified,NFT,Non-Custodial,Required,Global (160+ countries),No,Yes,Yes (earn points boost on staked SOL),Varies by Region,"USDC, SOL, ETH, BTC",https://www.kast.xyz/,USD | EUR | Global,Rewards points | Instant access | Points boost | VIP Concierge
gemini-card,Gemini Credit,Gemini,Credit,Mastercard,4,Free,0%,None,Custodial,Required,US,Yes,Yes,None,Cash Advance Fees,Rewards in 60+,https://www.gemini.com/credit-card,USD,"Earn up to 4% on every purchase | Earn bitcoin, or 50+ cryptos available on Gemini | Rewards are instantly deposited"
metamask-card,MetaMask Card,ConsenSys,Debit,Mastercard,3,Free,1% (Metal tier 0%),None,Self-Custody,Required,"EU, UK, US",No,Yes,None,"No fee up to $1,200/mo, then 2%","USDC, USDT, ETH",https://metamask.io/card,USD | EUR | GBP,Self-Custody | Linea Network | Direct Spending | Earn 1 MetaMask Rewards point for every $1 USD you spend | crypto cashback | exclusive benefits from our global partner network
etherfi-card,Ether.fi Cash,Ether.fi,Credit,Visa,15,Free,1%,Points,Non-Custodial,Required,US,No,Yes,None,2% fee,USDC (Yielding),https://www.ether.fi/cash,USD,DeFi Native | Yield Bearing | Borrow vs ETH | Cashback on every purchase | Free physical cards | Virtual cards | Contactless payment | Apple Pay & Google Pay | Non-custodial account | Use your crypto | Spend with value-accruing stables | Family Member Cards w/ controls (coming soon) | Referral rewards (1% Cashback on referral purchases + 10% points on their deposits) | Airport Companion lounge access | Concierge | Priority support (24/7 Live Chat and email) | Crypto concierge (coming soon) | Exclusive hotel discounts (Up to 65% off luxury hotels) | Price protection Up to $2K | Purchase protection Up to $10K | Extended warranty Up to $10K | Auto rental insurance
